Berechnungsstichtag,Beschaffung & Vertrieb,Netzentgelte,"Steuern, Abgaben, Umlagen"
2015,8.263781276790288,6.319156761871818,15.038386931858591
2016,7.46966589509119,6.619809129864746,15.660787881353533
2017,6.557383255158502,7.576539236191831,16.227644318808377
2018,6.966090410977265,7.266341106730078,16.093759880949506
2019,7.759049114220713,7.33067866897975,16.087213608323058
2020,8.282942585294034,7.7064145914223445,16.26535423873183
2021,8.569970217462496,7.733494588469234,16.5323895854279
2022,24.112466003275273,7.975309450665458,14.18701701817945
2023,25.078455578278227,9.346218454216444,12.58580661630025
2024,17.08802656045034,11.419627330675056,11.711171833154735
2025,16.038178232521194,10.950462556284702,12.705658559099755
